"Segment Name","Size (MB)","Segment Type","Number of Rows"
"SYS_C007238","0.1","INDEX","-"
"SYS_C007239","0.1","INDEX","-"
"SYS_C007241","0.1","INDEX","-"
"SYS_C007246","0.1","INDEX","-"
"SYS_C007247","0.1","INDEX","-"
"SYS_C007251","0.1","INDEX","-"
"SYS_C007252","0.1","INDEX","-"
"SYS_C007254","0.1","INDEX","-"
"SYS_C007258","0.1","INDEX","-"
"SYS_C007259","0.1","INDEX","-"
"SYS_C007263","0.1","INDEX","-"
"SYS_C007264","0.1","INDEX","-"
"SYS_C007268","0.1","INDEX","-"
"SYS_C007269","0.1","INDEX","-"
"SYS_C007274","0.1","INDEX","-"
"SYS_C007275","0.1","INDEX","-"
"SYS_C007280","0.1","INDEX","-"
"SYS_C007281","0.1","INDEX","-"
"SYS_C007286","0.1","INDEX","-"
"SYS_C007287","0.1","INDEX","-"
"SYS_C007292","0.1","INDEX","-"
"SYS_C007293","0.1","INDEX","-"
"SYS_C007297","0.1","INDEX","-"
"SYS_C007298","0.1","INDEX","-"
"SYS_C007302","0.1","INDEX","-"
"SYS_C007303","0.1","INDEX","-"
"SYS_C007308","0.1","INDEX","-"
"SYS_C007309","0.1","INDEX","-"
"SYS_C007313","0.1","INDEX","-"
"SYS_C007314","0.1","INDEX","-"
"SYS_C007318","0.1","INDEX","-"
"SYS_C007319","0.1","INDEX","-"
"SYS_C007324","0.1","INDEX","-"
"SYS_C007325","0.1","INDEX","-"
"SYS_C007330","0.1","INDEX","-"
"SYS_C007331","0.1","INDEX","-"
"SYS_C007335","0.1","INDEX","-"
"SYS_C007336","0.1","INDEX","-"
"SYS_C007340","0.1","INDEX","-"
"SYS_C007341","0.1","INDEX","-"
"SYS_C007345","0.1","INDEX","-"
"SYS_C007346","0.1","INDEX","-"
"SYS_C007351","0.1","INDEX","-"
"SYS_C007352","0.1","INDEX","-"
"SYS_C007356","0.1","INDEX","-"
"SYS_C007357","0.1","INDEX","-"
"SYS_C007362","0.1","INDEX","-"
"SYS_C007368","0.1","INDEX","-"
"SYS_C007369","0.1","INDEX","-"
"SYS_C007373","0.1","INDEX","-"
"SYS_C007374","0.1","INDEX","-"
"SYS_C007378","0.1","INDEX","-"
"SYS_C007379","0.1","INDEX","-"
"SYS_C007383","0.1","INDEX","-"
"SYS_C007384","0.1","INDEX","-"
"SYS_C007389","0.1","INDEX","-"
"SYS_C007390","0.1","INDEX","-"
"SYS_C007394","0.1","INDEX","-"
"SYS_C007395","0.1","INDEX","-"
"SYS_C007399","0.1","INDEX","-"
"SYS_C007400","0.1","INDEX","-"
"SYS_C007404","0.1","INDEX","-"
"SYS_C007405","0.1","INDEX","-"
"SYS_C007410","0.1","INDEX","-"
"SYS_C007411","0.1","INDEX","-"
"SYS_C007413","0.1","INDEX","-"
"SYS_C007417","0.1","INDEX","-"
"SYS_C007418","0.1","INDEX","-"
"SYS_C007422","0.1","INDEX","-"
"SYS_C007423","0.1","INDEX","-"
"SYS_C007425","0.1","INDEX","-"
"SYS_C007429","0.1","INDEX","-"
"SYS_C007430","0.1","INDEX","-"
"SYS_C007435","0.1","INDEX","-"
"SYS_C007436","0.1","INDEX","-"
"SYS_C007440","0.1","INDEX","-"
"SYS_C007441","0.1","INDEX","-"
"SYS_C007446","0.1","INDEX","-"
"SYS_C007447","0.1","INDEX","-"
"SYS_C007452","0.1","INDEX","-"
"SYS_C007453","0.1","INDEX","-"
"SYS_C007457","0.1","INDEX","-"
"SYS_C007458","0.1","INDEX","-"
"SYS_C007462","0.1","INDEX","-"
"SYS_C007463","0.1","INDEX","-"
"SYS_C007467","0.1","INDEX","-"
"SYS_C007468","0.1","INDEX","-"
"SYS_C007472","0.1","INDEX","-"
"SYS_C007473","0.1","INDEX","-"
"SYS_C007477","0.1","INDEX","-"
"SYS_C007478","0.1","INDEX","-"
"SYS_C007482","0.1","INDEX","-"
"SYS_C007483","0.1","INDEX","-"
"SYS_C007488","0.1","INDEX","-"
"SYS_C007489","0.1","INDEX","-"
"SYS_C007494","0.1","INDEX","-"
"SYS_C007495","0.1","INDEX","-"
"SYS_C007499","0.1","INDEX","-"
"SYS_C007500","0.1","INDEX","-"
"SYS_C007502","0.1","INDEX","-"
"SYS_C007506","0.1","INDEX","-"
"SYS_C007507","0.1","INDEX","-"
"SYS_C007511","0.1","INDEX","-"
"SYS_C007512","0.1","INDEX","-"
"SYS_C007517","0.1","INDEX","-"
"SYS_C007518","0.1","INDEX","-"
"SYS_C007520","0.1","INDEX","-"
"SYS_C007522","0.1","INDEX","-"
"SYS_C007526","0.1","INDEX","-"
"SYS_C007527","0.1","INDEX","-"
"SYS_C007531","0.1","INDEX","-"
"SYS_C007532","0.1","INDEX","-"
"SYS_C007537","0.1","INDEX","-"
"SYS_C007538","0.1","INDEX","-"
"SYS_C007542","0.1","INDEX","-"
"SYS_C007543","0.1","INDEX","-"
"SYS_C007547","0.1","INDEX","-"
"SYS_C007548","0.1","INDEX","-"
"SYS_C007553","0.1","INDEX","-"
"SYS_C007554","0.1","INDEX","-"
"SYS_C007559","0.1","INDEX","-"
"SYS_C007560","0.1","INDEX","-"
"SYS_C007565","0.1","INDEX","-"
"SYS_C007566","0.1","INDEX","-"
"SYS_C007571","0.1","INDEX","-"
"SYS_C007572","0.1","INDEX","-"
"SYS_C007576","0.1","INDEX","-"
"SYS_C007577","0.1","INDEX","-"
"SYS_C007582","0.1","INDEX","-"
"SYS_C007583","0.1","INDEX","-"
"SYS_C007587","0.1","INDEX","-"
"SYS_C007588","0.1","INDEX","-"
"SYS_C007593","0.1","INDEX","-"
"SYS_C007594","0.1","INDEX","-"
"SYS_C007599","0.1","INDEX","-"
"SYS_C007600","0.1","INDEX","-"
"SYS_C007604","0.1","INDEX","-"
"SYS_C007605","0.1","INDEX","-"
"SYS_C007610","0.1","INDEX","-"
"SYS_C007611","0.1","INDEX","-"
"SYS_C007615","0.1","INDEX","-"
"SYS_C007616","0.1","INDEX","-"
"SYS_C007620","0.1","INDEX","-"
"SYS_C007621","0.1","INDEX","-"
"SYS_C007625","0.1","INDEX","-"
"SYS_C007626","0.1","INDEX","-"
"SYS_C007630","0.1","INDEX","-"
"SYS_C007631","0.1","INDEX","-"
"SYS_C007636","0.1","INDEX","-"
"SYS_C007637","0.1","INDEX","-"
"SYS_C007642","0.1","INDEX","-"
"SYS_C007643","0.1","INDEX","-"
"SYS_C007645","0.1","INDEX","-"
"SYS_C007650","0.1","INDEX","-"
"SYS_C007651","0.1","INDEX","-"
"SYS_C007655","0.1","INDEX","-"
"SYS_C007656","0.1","INDEX","-"
"SYS_C007660","0.1","INDEX","-"
"SYS_C007661","0.1","INDEX","-"
"SYS_C007666","0.1","INDEX","-"
"SYS_C007667","0.1","INDEX","-"
"SYS_C007671","0.1","INDEX","-"
"SYS_C007672","0.1","INDEX","-"
"SYS_C007676","0.1","INDEX","-"
"SYS_C007677","0.1","INDEX","-"
"SYS_C007682","0.1","INDEX","-"
"SYS_C007683","0.1","INDEX","-"
"SYS_C007687","0.1","INDEX","-"
"SYS_C007688","0.1","INDEX","-"
"SYS_C007692","0.1","INDEX","-"
"SYS_C007693","0.1","INDEX","-"
"SYS_C007695","0.1","INDEX","-"
"SYS_C007700","0.1","INDEX","-"
"SYS_C007701","0.1","INDEX","-"
"SYS_C007706","0.1","INDEX","-"
"SYS_C007707","0.1","INDEX","-"
"SYS_C007709","0.1","INDEX","-"
"SYS_C007714","0.1","INDEX","-"
"SYS_C007715","0.1","INDEX","-"
"SYS_C007717","0.1","INDEX","-"
"SYS_C007719","0.1","INDEX","-"
"SYS_C007721","0.1","INDEX","-"
"SYS_C007726","0.1","INDEX","-"
"SYS_C007727","0.1","INDEX","-"
"SYS_C007731","0.1","INDEX","-"
"SYS_C007732","0.1","INDEX","-"
"SYS_C007736","0.1","INDEX","-"
"SYS_C007737","0.1","INDEX","-"
"SYS_C007739","0.1","INDEX","-"
"SYS_C007741","0.1","INDEX","-"
"SYS_C007743","0.1","INDEX","-"
"SYS_C007745","0.1","INDEX","-"
"SYS_C007749","0.1","INDEX","-"
"SYS_C007750","0.1","INDEX","-"
"SYS_C007752","0.1","INDEX","-"
"SYS_C007757","0.1","INDEX","-"
"SYS_C007758","0.1","INDEX","-"
"SYS_C007762","0.1","INDEX","-"
"SYS_C007763","0.1","INDEX","-"
"SYS_C007768","0.1","INDEX","-"
"SYS_C007769","0.1","INDEX","-"
"SYS_C007773","0.1","INDEX","-"
"SYS_C007774","0.1","INDEX","-"
"SYS_C007779","0.1","INDEX","-"
"SYS_C007780","0.1","INDEX","-"
"SYS_C007785","0.1","INDEX","-"
"SYS_C007786","0.1","INDEX","-"
"SYS_C007791","0.1","INDEX","-"
"SYS_C007792","0.1","INDEX","-"
"SYS_C007796","0.1","INDEX","-"
"SYS_C007797","0.1","INDEX","-"
"SYS_C007801","0.1","INDEX","-"
"SYS_C007802","0.1","INDEX","-"
"SYS_C007806","0.1","INDEX","-"
"SYS_C007807","0.1","INDEX","-"
"SYS_C007812","0.1","INDEX","-"
"SYS_C007813","0.1","INDEX","-"
"SYS_C007818","0.1","INDEX","-"
"SYS_C007819","0.1","INDEX","-"
"SYS_C007824","0.1","INDEX","-"
"SYS_C007825","0.1","INDEX","-"
"SYS_C007829","0.1","INDEX","-"
"SYS_C007830","0.1","INDEX","-"
"SYS_C007834","0.1","INDEX","-"
"SYS_C007835","0.1","INDEX","-"
"SYS_C007839","0.1","INDEX","-"
"SYS_C007840","0.1","INDEX","-"
"SYS_C007844","0.1","INDEX","-"
"SYS_C007845","0.1","INDEX","-"
"SYS_C007850","0.1","INDEX","-"
"SYS_C007851","0.1","INDEX","-"
"SYS_C008015","0.1","INDEX","-"
"S_PROPS_TAB","0.1","NESTED TABLE","-"
"TABCOMPART$","0.1","TABLE","1"
"TABSUBPART$","0.1","TABLE","32"
"TRIGGERDEP$","0.1","TABLE","0"
"TYPED_VIEW$","0.1","TABLE","315"
"WALLET$_ACL","0.1","TABLE","0"
"ASSOCIATION$","0.1","TABLE","12"
"COMPRESSION$","0.1","TABLE","0"
"DBFS$_MOUNTS","0.1","TABLE","0"
"DBFS$_STORES","0.1","TABLE","0"
"DBFS_SFS$_FS","0.1","TABLE","0"
"DEF$_AQERROR","0.1","TABLE","-"
"DEFAULT_PWD$","0.1","TABLE","841"
"DIMLEVELKEY$","0.1","TABLE","0"
"EPG$_AUTH_PK","0.1","INDEX","-"
"HS$_CLASS_DD","0.1","TABLE","0"
"HS$_FDS_INST","0.1","TABLE","0"
"I_ACTPACKAGE","0.1","INDEX","-"
"I_AUX_STATS$","0.1","INDEX","-"
"I_DIMATTR$_1","0.1","INDEX","-"
"I_DIMATTR$_2","0.1","INDEX","-"
"I_NCOMP_DLL1","0.1","INDEX","-"
"I_PROCEDURE1","0.1","INDEX","-"
"I_SNAP_SITE1","0.1","INDEX","-"
"I_STATS_OBJ#","0.1","INDEX","-"
"I_SUMJOIN$_1","0.1","INDEX","-"
"I_SUMPRED$_1","0.1","INDEX","-"
"I_VIEWTRCOL1","0.1","INDEX","-"
"KU_NOEXP_TAB","0.1","TABLE","194"
"LOBCOMPPART$","0.1","TABLE","0"
"LOGMNRG_COL$","0.1","TABLE","0"
"LOGMNRG_ENC$","0.1","TABLE","0"
"LOGMNRG_IND$","0.1","TABLE","0"
"LOGMNRG_LOB$","0.1","TABLE","0"
"LOGMNRG_OBJ$","0.1","TABLE","0"
"LOGMNRG_TAB$","0.1","TABLE","0"
"MAP_ELEMENT$","0.1","TABLE","0"
"MLOG_REFCOL$","0.1","TABLE","0"
"OBJECT_USAGE","0.1","TABLE","0"
"OL$SIGNATURE","0.1","INDEX","-"
"OLAP_MODELS$","0.1","TABLE","0"
"OLAP_SYNTAX$","0.1","TABLE","0"
"OPANCILLARY$","0.1","TABLE","34"
"OPB_ATTR_IDX","0.1","INDEX","-"
"OPB_BCF_TREE","0.1","TABLE","0"
"OPB_CFG_ATTR","0.1","TABLE","42"
"OPB_CM_LABEL","0.1","TABLE","0"
"OPB_CM_QUERY","0.1","TABLE","0"
"OPB_CNX_ATTR","0.1","TABLE","12"
"OPB_CNX_IDX2","0.1","INDEX","-"
"OPB_CUBE_IDX","0.1","INDEX","-"
"OPB_DBDS_IDX","0.1","INDEX","-"
"OPB_EXPR_IDX","0.1","INDEX","-"
"OPB_FACT_IDX","0.1","INDEX","-"
"OPB_HASH_KEY","0.1","TABLE","0"
"OPB_KEYWORD_","0.1","TABLE","0"
"OPB_MAPPING_","0.1","TABLE","0"
"OPB_MD_CUBE_","0.1","TABLE","0"
"OPB_MD_FACT_","0.1","TABLE","0"
"OPB_MD_LEVEL","0.1","TABLE","0"
"OPB_NORM_FLD","0.1","TABLE","0"
"OPB_PROG_IDX","0.1","INDEX","-"
"OPB_ROLE_IDX","0.1","INDEX","-"
"OPB_SAP_FUNC","0.1","TABLE","0"
"OPB_SELINFO_","0.1","TABLE","0"
"OPB_SERVREQ1","0.1","INDEX","-"
"OPB_SERVREQ2","0.1","INDEX","-"
"OPB_SERV_IDX","0.1","INDEX","-"
"OPB_SESSION_","0.1","TABLE","0"
"OPB_SHORTCUT","0.1","TABLE","0"
"OPB_SRC_FLD_","0.1","TABLE","0"
"OPB_SRC_IDX1","0.1","INDEX","-"
"OPB_SUBJECT_","0.1","TABLE","0"
"OPB_SUBJ_IDX","0.1","INDEX","-"
"OPB_TARG_FLD","0.1","TABLE","11"
"OPB_TARG_IDX","0.1","INDEX","-"
"OPB_TASK_IDX","0.1","INDEX","-"
"OPB_USER_IDX","0.1","INDEX","-"
"OPB_VALIDATE","0.1","TABLE","0"
"OPB_WFLG_IDX","0.1","INDEX","-"
"OPB_WORKFLOW","0.1","TABLE","1"
"OPB_XML_INFO","0.1","TABLE","0"
"OPB_XML_QUAL","0.1","TABLE","0"
"PC_DBRCONFIG","0.1","TABLE","2"
"PC_NAMESPACE","0.1","TABLE","5"
"PISR_NN_TXID","0.1","INDEX","-"
"PO_DOMAINOBJ","0.1","TABLE","10"
"PO_HOSTUSAGE","0.1","TABLE","14"
"PO_HTTPSINFO","0.1","TABLE","0"
"PO_ISPSTRING","0.1","TABLE","0"
"PO_MPPROJECT","0.1","TABLE","1"
"PO_OSPROFILE","0.1","TABLE","0"
"PO_PARAMETER","0.1","TABLE","0"
"PO_PRIVILEGE","0.1","TABLE","529"
"PO_TIMEOFDAY","0.1","TABLE","0"
"PO_VALUETYPE","0.1","TABLE","0"
"PR_RSID_TXID","0.1","TABLE","0"
"REGISTRY$LOG","0.1","TABLE","5"
"REP_DB_TYPES","0.1","TABLE","20"
"RESOURCE_MAP","0.1","TABLE","16"
"RULE_SET_EE$","0.1","TABLE","2"
"RULE_SET_NL$","0.1","TABLE","8"
"RULE_SET_RE$","0.1","TABLE","2"
"RULE_SET_TE$","0.1","TABLE","2"
"RULE_SET_VE$","0.1","TABLE","0"
"SNAP_COLMAP$","0.1","TABLE","0"
"SNAP_LOGDEP$","0.1","TABLE","0"
"SNAP_OBJCOL$","0.1","TABLE","0"
"SQL_VERSION$","0.1","TABLE","4"
"SYS_FBA_TSFA","0.1","TABLE","0"
"UI_REDEF_ID$","0.1","INDEX","-"
"WRR$_REPLAYS","0.1","TABLE","0"
"XS$VERIFIERS","0.1","TABLE","0"
"XSTREAM$_MAP","0.1","TABLE","0"
"AQ$_PUBLISHER","0.1","TABLE","0"
"AQ_PROP_TABLE","0.1","TABLE","-"
"AUDIT_ACTIONS","0.1","TABLE","180"
"CHNF$_QUERIES","0.1","TABLE","0"
"DBFS_SFS$_FST","0.1","TABLE","0"
"DBFS_SFS$_TAB","0.1","TABLE","0"
"DBFS_SFS$_VOL","0.1","TABLE","0"
"DEF$_CALLDEST","0.1","TABLE","0"
"DEFERRED_STG$","0.1","TABLE","0"
"EXTERNAL_TAB$","0.1","TABLE","0"
"HS$_BASE_CAPS","0.1","TABLE","811"
"HS$_FDS_CLASS","0.1","TABLE","1"
"HS$_INST_CAPS","0.1","TABLE","0"
"HS$_INST_INIT","0.1","TABLE","0"
"INDARRAYTYPE$","0.1","TABLE","0"
"I_DEFAULT_PWD","0.1","INDEX","-"
"I_DEFSUBPART$","0.1","INDEX","-"
"I_DIMLEVEL$_1","0.1","INDEX","-"
"I_INDCOMPART$","0.1","INDEX","-"
"I_INDREBUILD1","0.1","INDEX","-"
"I_OLAP_CUBES$","0.1","INDEX","-"
"I_PROCEDUREC$","0.1","INDEX","-"
"I_PROXY_DATA$","0.1","INDEX","-"
"I_PROXY_INFO$","0.1","INDEX","-"
"I_RULE_SET_EE","0.1","INDEX","-"
"I_RULE_SET_NL","0.1","INDEX","-"
"I_RULE_SET_TE","0.1","INDEX","-"
"I_RULE_SET_VE","0.1","INDEX","-"
"I_SNAP_REFOP1","0.1","INDEX","-"
"I_SUBCOLTYPE1","0.1","INDEX","-"
"I_SUBPARTCOL$","0.1","INDEX","-"
"I_SUMPARTLOG$","0.1","INDEX","-"
"I_TABCOMPART$","0.1","INDEX","-"
"I_TYPED_VIEW1","0.1","INDEX","-"
"I_USER_PREFS$","0.1","INDEX","-"
"JIREFRESHSQL$","0.1","TABLE","0"
"LOGMNRG_CCOL$","0.1","TABLE","0"
"LOGMNRG_CDEF$","0.1","TABLE","0"
"LOGMNRG_ICOL$","0.1","TABLE","0"
"LOGMNRG_KOPM$","0.1","TABLE","0"
"LOGMNRG_NTAB$","0.1","TABLE","0"
"LOGMNRG_SEED$","0.1","TABLE","0"
"LOGMNRG_TYPE$","0.1","TABLE","0"
"LOGMNRG_USER$","0.1","TABLE","0"
"MAP_COMPLIST$","0.1","TABLE","0"
"MVIEW$_ADV_GC","0.1","TABLE","0"
"OLAP_TAB_COL$","0.1","TABLE","0"
"OPB_BCF_TREE_","0.1","TABLE","0"
"OPB_CFG_ATTR_","0.1","TABLE","0"
"OPB_CM_DEPLOY","0.1","TABLE","0"
"OPB_CNX_ATTR_","0.1","TABLE","0"
"OPB_COMPONENT","0.1","TABLE","9"
"OPB_CUBE_IDX2","0.1","INDEX","-"
"OPB_DIMN_IDX2","0.1","INDEX","-"
"OPB_DIM_LEVEL","0.1","INDEX","-"
"OPB_EVENT_IDX","0.1","INDEX","-"
"OPB_EXPR_IDX2","0.1","INDEX","-"
"OPB_EXTN_ATTR","0.1","TABLE","9"
"OPB_FILE_DESC","0.1","TABLE","0"
"OPB_GROUP_IDX","0.1","INDEX","-"
"OPB_HASH_KEY_","0.1","TABLE","0"
"OPB_KEY_RANGE","0.1","TABLE","0"
"OPB_MACRO_IDX","0.1","INDEX","-"
"OPB_MACRO_REF","0.1","TABLE","0"
"OPB_MD_LEVEL_","0.1","TABLE","0"
"OPB_NORM_FLD_","0.1","TABLE","0"
"OPB_NOTIF_MSG","0.1","TABLE","0"
"OPB_OBJLOCKS1","0.1","INDEX","-"
"OPB_OBJLOCKS2","0.1","INDEX","-"
"OPB_REQREPLY1","0.1","INDEX","-"
"OPB_REQREPLY2","0.1","INDEX","-"
"OPB_REQ_REPLY","0.1","TABLE","0"
"OPB_RTSEQ_IDX","0.1","INDEX","-"
"OPB_SAP_FUNC_","0.1","TABLE","0"
"OPB_SAP_F_IDX","0.1","INDEX","-"
"OPB_SCHD_IDX2","0.1","INDEX","-"
"OPB_SCHEDULER","0.1","TABLE","1"
"OPB_SEBL_LINK","0.1","TABLE","0"
"OPB_SHORTCUT_","0.1","TABLE","0"
"OPB_TARGINDEX","0.1","TABLE","0"
"OPB_TARG_FLD_","0.1","TABLE","0"
"OPB_TARG_IDX1","0.1","INDEX","-"
"OPB_TASK_ATTR","0.1","TABLE","54"
"OPB_TASK_IDX2","0.1","INDEX","-"
"OPB_TASK_IDX3","0.1","INDEX","-"
"OPB_TASK_INST","0.1","TABLE","2"
"OPB_VALIDATE_","0.1","TABLE","0"
"OPB_WFATT_IDX","0.1","INDEX","-"
"OPB_WFBRK_IDX","0.1","INDEX","-"
"OPB_WFDEP_IDX","0.1","INDEX","-"
"OPB_WFLD_ATTR","0.1","TABLE","0"
"OPB_WFLG_IDX2","0.1","INDEX","-"
"OPB_WFLG_IDX3","0.1","INDEX","-"
"OPB_WFLOW_DEP","0.1","TABLE","1"
"OPB_WFLOW_IDX","0.1","INDEX","-"
"OPB_WFLOW_RUN","0.1","TABLE","1"
"OPB_WFLOW_VAR","0.1","TABLE","19"
"OPB_WFVAR_IDX","0.1","INDEX","-"
"OPB_WORKFLOW_","0.1","TABLE","0"
"OPB_XML_INFO_","0.1","TABLE","0"
"OPB_XML_QUAL_","0.1","TABLE","0"
"PC_ICLASS_SIG","0.1","TABLE","357"
"PC_REPOSITORY","0.1","TABLE","1"
"PO_ANNOTATION","0.1","TABLE","1"
"PO_ATTRIBUTES","0.1","TABLE","0"
"PO_ISPBOOLEAN","0.1","TABLE","0"
"PO_ISPINTEGER","0.1","TABLE","0"
"PO_NODECONFIG","0.1","TABLE","0"
"PO_PREFERENCE","0.1","TABLE","0"
"PO_SAMLCONFIG","0.1","TABLE","1"
"PO_SERVICEREF","0.1","TABLE","1"
"PO_SORTSYSTEM","0.1","TABLE","0"
"PO_TYPECONFIG","0.1","TABLE","0"
"REDEF_OBJECT$","0.1","TABLE","0"
"REP_CARD_TYPE","0.1","TABLE","5"
"REP_PIC_USAGE","0.1","TABLE","11"
"REP_TARG_TYPE","0.1","TABLE","3"
"RULE_SET_FOB$","0.1","TABLE","8"
"RULE_SET_ROR$","0.1","TABLE","2"
"SNAP_REFTIME$","0.1","TABLE","0"
"SYS_FBA_USERS","0.1","TABLE","0"
"TRIGGERJAVAC$","0.1","TABLE","0"
"TRIGGERJAVAF$","0.1","TABLE","0"
"TRIGGERJAVAM$","0.1","TABLE","0"
"TRIGGERJAVAS$","0.1","TABLE","0"
"TRUSTED_LIST$","0.1","TABLE","1"
"USER_HISTORY$","0.1","TABLE","0"
"WRR$_CAPTURES","0.1","TABLE","0"
"XS$PARAMETERS","0.1","TABLE","0"
"AQ_EVENT_TABLE","0.1","TABLE","-"
"CACHE_STATS_0$","0.1","TABLE","0"
"CACHE_STATS_1$","0.1","TABLE","0"
"DAM_PARAM_TAB$","0.1","TABLE","7"
"DBFS_SFS$_FSTO","0.1","TABLE","0"
"DBFS_SFS$_FSTP","0.1","TABLE","0"
"DBFS_SFS$_SNAP","0.1","TABLE","0"
"DEF$_TRANORDER","0.1","INDEX","-"
"DEFSUBPARTLOB$","0.1","TABLE","0"
"DIANA_VERSION$","0.1","TABLE","0"
"EXPIMP_TTS_CT$","0.1","TABLE","0"
"HELP_TOPIC_SEQ","0.1","INDEX","-"
"HS$_BASE_DD_PK","0.1","INDEX","-"
"HS$_CLASS_CAPS","0.1","TABLE","0"
"HS$_CLASS_INIT","0.1","TABLE","0"
"HS$_INST_DD_PK","0.1","INDEX","-"
"I1_RULE_SET_RE","0.1","INDEX","-"
"I2_RULE_SET_RE","0.1","INDEX","-"
"I3_RULE_SET_RE","0.1","INDEX","-"
"INDPART_PARAM$","0.1","TABLE","0"
"I_COMPRESSION1","0.1","INDEX","-"
"I_HIERLEVEL$_1","0.1","INDEX","-"
"I_ICOLDEP$_OBJ","0.1","INDEX","-"
"I_INDPART_OBJ$","0.1","INDEX","-"
"I_METASCRIPT2$","0.1","INDEX","-"
"I_MLOG_REFCOL1","0.1","INDEX","-"
"I_OBJ#_INTCOL#","0.1","INDEX","-"
"I_OLAP_MODELS$","0.1","INDEX","-"
"I_OLAP_SYNTAX$","0.1","INDEX","-"
"I_RULE_SET_FOB","0.1","INDEX","-"
"I_RULE_SET_ROR","0.1","INDEX","-"
"I_SNAP_COLMAP1","0.1","INDEX","-"
"I_SNAP_LOGDEP1","0.1","INDEX","-"
"I_SNAP_OBJCOL1","0.1","INDEX","-"
"I_SUMDETAIL$_1","0.1","INDEX","-"
"I_SUMDETAIL$_2","0.1","INDEX","-"
"I_SUMINLINE$_1","0.1","INDEX","-"
"I_SUMINLINE$_2","0.1","INDEX","-"
"I_SUMINLINE$_3","0.1","INDEX","-"
"I_TABPART_OBJ$","0.1","INDEX","-"
"I_TRIGGERJAVAC","0.1","INDEX","-"
"I_TRIGGERJAVAF","0.1","INDEX","-"
"I_TRIGGERJAVAM","0.1","INDEX","-"
"I_TRIGGERJAVAS","0.1","INDEX","-"
"I_XS$SESSIONS1","0.1","INDEX","-"
"I_XSTREAM_MAP1","0.1","INDEX","-"
"LOGMNRG_PROPS$","0.1","TABLE","0"
"MVIEW$_ADV_AJG","0.1","TABLE","0"
"MVIEW$_ADV_FJG","0.1","TABLE","0"
"MVIEW$_ADV_LOG","0.1","TABLE","0"
"OLAP_AW_VIEWS$","0.1","TABLE","0"
"OLAP_MAPPINGS$","0.1","TABLE","0"
"OLAP_MEASURES$","0.1","TABLE","0"
"OLAP_TAB_HIER$","0.1","TABLE","0"
"OPB_COMPONENT_","0.1","TABLE","0"
"OPB_DEPLOY_IDX","0.1","INDEX","-"
"OPB_EVENT_IDX2","0.1","INDEX","-"
"OPB_EXPRESSION","0.1","TABLE","0"
"OPB_EXTN_ATTR_","0.1","TABLE","0"
"OPB_FILE_DESC_","0.1","TABLE","0"
"OPB_GENOBJ_IDX","0.1","INDEX","-"
"OPB_GEN_OBJECT","0.1","TABLE","0"
"OPB_KEY_RANGE_","0.1","TABLE","0"
"OPB_MACRO_ARGS","0.1","TABLE","0"
"OPB_MACRO_EXPR","0.1","TABLE","0"
"OPB_MACRO_IDX1","0.1","INDEX","-"
"OPB_MACRO_REF_","0.1","TABLE","0"
"OPB_MAPPSV_IDX","0.1","INDEX","-"
"OPB_MAP_PV_IDX","0.1","INDEX","-"
"OPB_MMDCNX_IDX","0.1","INDEX","-"
"OPB_MMDLIB_IDX","0.1","INDEX","-"
"OPB_MMD_DBTYPE","0.1","TABLE","57"
"OPB_MMD_DOMAIN","0.1","TABLE","74"
"OPB_PERF_COUNT","0.1","TABLE","2"
"OPB_PICDSC_IDX","0.1","INDEX","-"
"OPB_PROFMD_IDX","0.1","INDEX","-"
"OPB_PROFRD_IDX","0.1","INDEX","-"
"OPB_PROFRR_IDX","0.1","INDEX","-"
"OPB_PROFRS_IDX","0.1","INDEX","-"
"OPB_PROFSR_IDX","0.1","INDEX","-"
"OPB_REPO_PARAM","0.1","TABLE","1"
"OPB_RESREF_IDX","0.1","INDEX","-"
"OPB_SAP_FP_IDX","0.1","INDEX","-"
"OPB_SAP_STRUCT","0.1","TABLE","0"
"OPB_SAP_ST_IDX","0.1","INDEX","-"
"OPB_SCHEDULER_","0.1","TABLE","0"
"OPB_SCHEMA_IDS","0.1","TABLE","0"
"OPB_SEBL_LINKX","0.1","TABLE","0"
"OPB_SEBL_LINK_","0.1","TABLE","0"
"OPB_SERVER_NET","0.1","TABLE","0"
"OPB_SESCFG_IDX","0.1","INDEX","-"
"OPB_SESS_EXTNS","0.1","TABLE","3"
"OPB_SLATTR_IDX","0.1","INDEX","-"
"OPB_SRVNET_IDX","0.1","INDEX","-"
"OPB_TARGINDEX_","0.1","TABLE","0"
"OPB_TASK_ATTR_","0.1","TABLE","0"
"OPB_TASK_INST_","0.1","TABLE","0"
"OPB_TASK_STATS","0.1","TABLE","0"
"OPB_USER_GROUP","0.1","TABLE","4"
"OPB_WFEXPR_IDX","0.1","INDEX","-"
"OPB_WFLD_ATTR_","0.1","TABLE","0"
"OPB_WFLOW_DEP_","0.1","TABLE","0"
"OPB_WFLOW_EXPR","0.1","TABLE","1"
"OPB_WFLOW_RUN_","0.1","TABLE","0"
"OPB_WFLOW_VAR_","0.1","TABLE","0"
"OPB_WF_RUNINFO","0.1","TABLE","0"
"OPB_WIDGET_DEP","0.1","TABLE","22"
"OPB_WIDGET_IDX","0.1","INDEX","-"
"PC_UPGRADE_LOG","0.1","TABLE","0"
